family,pair,src,donor,layer,acc_src,acc_donor,other
nonce,repetition->drop_last,repetition,drop_last,4,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,5,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,6,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,7,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,8,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,9,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,10,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,11,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,12,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,13,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,14,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,15,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,16,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,17,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,18,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,19,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,20,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,21,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,22,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,23,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,24,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,25,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,26,0.0,0.0,1.0
nonce,repetition->drop_last,repetition,drop_last,27,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,0,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,1,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,2,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,3,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,4,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,5,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,6,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,7,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,8,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,9,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,10,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,11,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,12,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,13,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,14,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,15,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,16,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,17,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,18,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,19,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,20,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,21,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,22,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,23,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,24,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,25,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,26,0.0,0.0,1.0
nonce,repetition->reverse,repetition,reverse,27,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,0,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,1,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,2,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,3,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,4,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,5,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,6,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,7,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,8,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,9,0.0,0.0,1.0
